# time_s action
7.670000 PUSH
7.690000 PUSH
7.710000 PUSH
7.730000 PUSH
7.750000 PUSH
7.770000 PUSH
7.790000 PUSH
7.810000 PUSH
7.830000 PUSH
7.850000 PUSH
7.870000 PUSH
7.890000 PUSH
7.910000 PUSH
8.030000 PUSH
8.050000 PUSH
8.070000 PUSH
8.090000 PUSH
8.110000 PUSH
8.130000 PUSH
8.150000 PUSH
8.170000 PUSH
8.190000 PUSH
8.210000 PUSH
8.230000 PUSH
8.250000 PUSH
8.270000 PUSH
8.290000 PUSH
8.310000 PUSH
8.330000 PUSH
8.390000 PUSH
8.410000 PUSH
8.430000 PUSH
8.450000 PUSH
8.470000 PUSH
8.490000 PUSH
8.510000 PUSH
8.530000 PUSH
8.590000 PUSH
8.610000 PUSH
8.630000 PUSH
8.650000 PUSH
8.670000 PUSH
8.690000 PUSH
8.770000 PUSH
8.790000 PUSH
8.810000 PUSH
8.830000 PUSH
8.910000 PUSH
8.930000 PUSH
8.950000 PUSH
9.090000 PUSH
9.110000 PUSH
9.130000 PUSH
9.150000 PUSH
9.170000 PUSH
9.270000 PUSH
9.290000 PUSH
9.310000 PUSH
9.330000 PUSH
9.350000 PUSH
9.370000 PUSH
9.390000 PUSH
9.410000 PUSH
9.530000 PUSH
9.550000 PUSH
9.570000 PUSH
9.630000 PUSH
9.650000 PUSH
9.670000 PUSH
9.690000 PUSH
9.710000 PUSH
9.730000 PUSH
9.930000 PUSH
9.950000 PUSH
9.970000 PUSH
9.990000 PUSH
10.010000 PUSH
10.030000 PUSH
10.050000 PUSH
10.070000 PUSH
10.090000 PUSH
10.110000 PUSH
10.130000 PUSH
10.150000 PUSH
10.170000 PUSH
10.190000 PUSH
10.210000 PUSH
10.230000 PUSH
10.250000 PUSH
10.270000 PUSH
10.290000 PUSH
10.310000 PUSH
10.330000 PUSH
10.350000 PUSH
10.530000 PUSH
10.550000 PUSH
10.570000 PUSH
10.590000 PUSH
10.610000 PUSH
10.630000 PUSH
10.650000 PUSH
10.670000 PUSH
10.690000 PUSH
10.710000 PUSH
10.730000 PUSH
10.750000 PUSH
10.890000 PUSH
10.910000 PUSH
10.930000 PUSH
10.950000 PUSH
10.970000 PUSH
11.070000 PULL
11.090000 PULL
11.110000 PULL
11.130000 PULL
11.150000 PULL
11.170000 PULL
11.190000 PULL
11.210000 PULL
11.230000 PULL
11.250000 PULL
11.270000 PULL
11.290000 PULL
11.310000 PULL
11.330000 PULL
11.350000 PULL
11.370000 PULL
11.390000 PULL
11.410000 PULL
11.430000 PULL
11.450000 PULL
11.470000 PULL
11.490000 PULL
11.510000 PULL
11.530000 PULL
11.550000 PULL
11.570000 PULL
11.590000 PULL
11.610000 PULL
11.630000 PULL
11.650000 PULL
11.670000 PULL
11.690000 PULL
11.710000 PULL
11.730000 PULL
11.750000 PULL
11.770000 PULL
11.790000 PULL
11.810000 PULL
11.830000 PULL
11.850000 PULL
11.870000 PULL
11.890000 PULL
